127.0.0.1 - - [28/May/2026 21:20:15] "GET /images/succes/PROGRESSION%20PYKUR/eveilcomplet.jpg HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /images/succes/PROGRESSION%20PYKUR/recommencerencore.jpg HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/success.mp3 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/click.mp3 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/warning.mp3 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/error.mp3 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/pp_gain.wav HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/unlock.mp3 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/run_mark.wav HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/reset_soft.wav HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/chrono_toggle.wav HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/export_save.wav HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/import_save.wav HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:20:15] "GET /sons/undo_soft.wav HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /mobile.html?view=mobile HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /images/pykur.png HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /images/alhass.png HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /images/toom-nrg.png HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /images/Aina-ivoir.png HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /images/oeuf.png HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /pykur-core.js HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /images/fond.png HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /images/chiendent.png HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /images/abrakleur.png HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /images/nerbe.png HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 21:21:03] "GET /images/fecorce.png HTTP/1.1" 200 -
